Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,mean_points,max_points,min_points,pointclouds,velocities
146.2,240,0,0,,129,"[x: 8.656744956970215
y: 2.9406867027282715
z: 0.0]",[],[],[],"[x: -0.08380594849586487
y: -0.08588691055774689
z: 0.0]"
146.4,241,0,0,,131,"[x: 8.640161514282227
y: 2.9233386516571045
z: 0.0]",[],[],[],"[x: -0.0820716917514801
y: -0.08754562586545944
z: 0.0]"
146.6,242,0,0,,133,"[x: 8.62392807006836
y: 2.9056625366210938
z: 0.0]",[],[],[],"[x: -0.08030461519956589
y: -0.08916933089494705
z: 0.0]"
146.8,243,0,0,,135,"[x: 8.608050346374512
y: 2.887665271759033
z: 0.0]",[],[],[],"[x: -0.07850541919469833
y: -0.09075736254453659
z: 0.0]"
147.0,244,0,0,,137,"[x: 8.592537879943848
y: 2.869354009628296
z: 0.0]",[],[],[],"[x: -0.07667398452758789
y: -0.09230980277061462
z: 0.0]"
147.2,245,0,0,,139,"[x: 8.577393531799316
y: 2.850736379623413
z: 0.0]",[],[],[],"[x: -0.07481182366609573
y: -0.0938253179192543
z: 0.0]"
147.4,246,0,0,,141,"[x: 8.5626220703125
y: 2.8318192958831787
z: 0.0]",[],[],[],"[x: -0.07291970402002335
y: -0.09530328214168549
z: 0.0]"
147.6,247,0,0,,143,"[x: 8.548232078552246
y: 2.812610387802124
z: 0.0]",[],[],[],"[x: -0.07099840044975281
y: -0.09674309194087982
z: 0.0]"
147.8,248,0,0,,145,"[x: 8.534232139587402
y: 2.7931172847747803
z: 0.0]",[],[],[],"[x: -0.0690486803650856
y: -0.09814418107271194
z: 0.0]"
148.0,249,0,0,,147,"[x: 8.520625114440918
y: 2.773348331451416
z: 0.0]",[],[],[],"[x: -0.06707131117582321
y: -0.09950597584247589
z: 0.0]"
148.2,250,0,0,,149,"[x: 8.507415771484375
y: 2.7533111572265625
z: 0.0]",[],[],[],"[x: -0.06506709009408951
y: -0.10082793980836868
z: 0.0]"
148.4,251,0,0,,151,"[x: 8.494609832763672
y: 2.733013868331909
z: 0.0]",[],[],[],"[x: -0.06303682923316956
y: -0.10210953652858734
z: 0.0]"
148.6,252,0,0,,153,"[x: 8.48221206665039
y: 2.7124640941619873
z: 0.0]",[],[],[],"[x: -0.060981329530477524
y: -0.10335025936365128
z: 0.0]"
148.8,253,0,0,,155,"[x: 8.470229148864746
y: 2.6916704177856445
z: 0.0]",[],[],[],"[x: -0.05890142172574997
y: -0.10454961657524109
z: 0.0]"
149.0,254,0,0,,157,"[x: 8.458663940429688
y: 2.6706414222717285
z: 0.0]",[],[],[],"[x: -0.05679793283343315
y: -0.10570711642503738
z: 0.0]"
149.2,255,0,0,,159,"[x: 8.447521209716797
y: 2.6493849754333496
z: 0.0]",[],[],[],"[x: -0.05467171221971512
y: -0.10682229697704315
z: 0.0]"
149.4,256,0,0,,161,"[x: 8.436806678771973
y: 2.6279094219207764
z: 0.0]",[],[],[],"[x: -0.05252360180020332
y: -0.10789472609758377
z: 0.0]"
149.6,257,0,0,,163,"[x: 8.426523208618164
y: 2.606224298477173
z: 0.0]",[],[],[],"[x: -0.05035446584224701
y: -0.10892394930124283
z: 0.0]"
150.0,258,0,0,,167,3,"[x: 8.407268524169922
y: 2.562260627746582
z: 0.0, x: 17.981491088867188
y: 3.7339560985565186
z: 0.0]",[],[],[],"[x: -0.045956600457429886
y: -0.1108512133359909
z: 0.0, x: 0.0
y: 0.0
z: 0.0]"
150.4,259,0,0,,171,7,"[x: 8.389788627624512
y: 2.517559766769409
z: 0.0, x: 17.947452545166016
y: 3.722236156463623
z: 0.0]",[],[],[],"[x: -0.041485149413347244
y: -0.11260098218917847
z: 0.0, x: -0.11287346482276917
y: -0.04073794186115265
z: 0.0]"
150.8,260,0,0,,175,11,"[x: 8.37411117553711
y: 2.472195625305176
z: 0.0, x: 17.90264320373535
y: 3.705031394958496
z: 0.0]",[],[],[],"[x: -0.036947280168533325
y: -0.11417047679424286
z: 0.0, x: -0.1111542284488678
y: -0.04521876573562622
z: 0.0]"
151.2,261,0,0,,179,15,"[x: 8.360260009765625
y: 2.4262404441833496
z: 0.0, x: 17.858558654785156
y: 3.686048746109009
z: 0.0]",[],[],[],"[x: -0.03235025703907013
y: -0.11555717140436172
z: 0.0, x: -0.10925719141960144
y: -0.049627263098955154
z: 0.0]"
151.6,262,0,0,,183,19,"[x: 8.348260879516602
y: 2.3797686100006104
z: 0.0, x: 17.81527328491211
y: 3.665318727493286
z: 0.0]",[],[],[],"[x: -0.02770143933594227
y: -0.11675885319709778
z: 0.0, x: -0.10718539357185364
y: -0.05395637825131416
z: 0.0]"
152.0,263,0,0,,187,23,"[x: 8.338130950927734
y: 2.3328537940979004
z: 0.0, x: 17.77284812927246
y: 3.642874240875244
z: 0.0]",[],[],[],"[x: -0.02300826646387577
y: -0.11777359247207642
z: 0.0, x: -0.10494215041399002
y: -0.058199189603328705
z: 0.0]"
152.4,264,0,0,,191,27,"[x: 8.329885482788086
y: 2.2855708599090576
z: 0.0, x: 17.731353759765625
y: 3.618751287460327
z: 0.0]",[],[],[],"[x: -0.018278256058692932
y: -0.1185997724533081
z: 0.0, x: -0.10253103822469711
y: -0.06234890595078468
z: 0.0]"
152.8,265,0,0,,195,31,"[x: 8.32353687286377
y: 2.2379953861236572
z: 0.0, x: 17.690858840942383
y: 3.5929884910583496
z: 0.0]",[],[],[],"[x: -0.013518981635570526
y: -0.1192360520362854
z: 0.0, x: -0.09995592385530472
y: -0.06639888882637024
z: 0.0]"
153.2,266,0,0,,199,35,"[x: 8.319097518920898
y: 2.19020414352417
z: 0.0, x: 17.65142250061035
y: 3.5656261444091797
z: 0.0]",[],[],[],"[x: -0.008738062344491482
y: -0.11968144029378891
z: 0.0, x: -0.09722092747688293
y: -0.07034266740083694
z: 0.0]"
153.6,267,0,0,,203,39,"[x: 8.316572189331055
y: 2.1422736644744873
z: 0.0, x: 17.613115310668945
y: 3.536705732345581
z: 0.0]",[],[],[],"[x: -0.003943151794373989
y: -0.11993519216775894
z: 0.0, x: -0.09433042258024216
y: -0.0741739273071289
z: 0.0]"
154.0,268,0,0,,207,43,"[x: 8.315967559814453
y: 2.0942790508270264
z: 0.0, x: 17.575990676879883
y: 3.5062811374664307
z: 0.0]",[],[],[],"[x: 0.000858072133269161
y: -0.11999692767858505
z: 0.0, x: -0.09128902107477188
y: -0.07788654416799545
z: 0.0]"
154.4,269,0,0,,211,47,"[x: 8.317282676696777
y: 2.0463016033172607
z: 0.0, x: 17.540119171142578
y: 3.474395751953125
z: 0.0]",[],[],[],"[x: 0.0056579215452075005
y: -0.11986653506755829
z: 0.0, x: -0.08810161054134369
y: -0.08147457242012024
z: 0.0]"
154.8,270,0,0,,215,51,"[x: 8.320516586303711
y: 1.9984142780303955
z: 0.0, x: 17.50554656982422
y: 3.4411017894744873
z: 0.0]",[],[],[],"[x: 0.010448712855577469
y: -0.11954423785209656
z: 0.0, x: -0.08477326482534409
y: -0.08493228256702423
z: 0.0]"
155.2,271,0,0,,219,55,"[x: 8.325662612915039
y: 1.95069420337677
z: 0.0, x: 17.472333908081055
y: 3.40645170211792
z: 0.0]",[],[],[],"[x: 0.01522277481853962
y: -0.11903052777051926
z: 0.0, x: -0.08130933344364166
y: -0.08825413882732391
z: 0.0]"
155.6,272,0,0,,223,59,"[x: 8.332714080810547
y: 1.9032182693481445
z: 0.0, x: 17.440532684326172
y: 3.3705008029937744
z: 0.0]",[],[],[],"[x: 0.019972462207078934
y: -0.11832623928785324
z: 0.0, x: -0.07771532982587814
y: -0.09143482148647308
z: 0.0]"
156.0,273,0,0,,227,63,"[x: 8.341660499572754
y: 1.8560620546340942
z: 0.0, x: 17.41019630432129
y: 3.3333075046539307
z: 0.0]",[],[],[],"[x: 0.02469017542898655
y: -0.11743250489234924
z: 0.0, x: -0.07399702072143555
y: -0.09446924924850464
z: 0.0]"
156.4,274,0,0,,231,67,"[x: 8.352485656738281
y: 1.8093020915985107
z: 0.0, x: 17.381376266479492
y: 3.2949304580688477
z: 0.0]",[],[],[],"[x: 0.029368355870246887
y: -0.11635075509548187
z: 0.0, x: -0.07016035914421082
y: -0.09735257923603058
z: 0.0]"
156.8,275,0,0,,235,71,"[x: 8.365172386169434
y: 1.7630127668380737
z: 0.0, x: 17.354106903076172
y: 3.255431890487671
z: 0.0]",[],[],[],"[x: 0.03399951383471489
y: -0.11508271843194962
z: 0.0, x: -0.06621145457029343
y: -0.10008017718791962
z: 0.0]"
